"# ""The 3DSC_ICSD without the ICSD data except for the ICSD ID.""",,,
formula_sc,tc,database_id_2,synth_doped
Ag1S0.2Se1.8Sn1,5.79,ICSD-291699,False
Ag1S0.2Se1.8Sn1,5.79,ICSD-291698,False
Ag1Se2Sn1,4.655,ICSD-291694,True
Ag1Se2Sn1,4.655,ICSD-291691,True
Ag1Se2Sn1,4.655,ICSD-291684,True
Ag1Se2Sn1,4.655,ICSD-291676,False
Ag1Se2Sn1,4.655,ICSD-291677,False
Ag1Se2Sn1,4.655,ICSD-291697,True
Ag1Se2Sn1,4.655,ICSD-291695,True
Ag1Se2Sn1,4.655,ICSD-659391,False
Ag1Se2Sn1,4.655,ICSD-52604,False
Ag1Se2Sn1,4.655,ICSD-291696,True
Ag1Se2Sn1,4.655,ICSD-291687,True
Ag1Se2Sn1,4.655,ICSD-291692,True
Ag1Se2Sn1,4.655,ICSD-291675,False
Ag1Se2Sn1,4.655,ICSD-291686,True
Ag1Se2Sn1,4.655,ICSD-291685,True
Ag1Te1,0,ICSD-198218,False
Ag1Te1,0,ICSD-55237,False
Ag1Te3,2.6,ICSD-107742,False
Ag1Th2,2.225,ICSD-58367,False
Ag1Th2,2.225,ICSD-150643,False
Ag1Th2,2.225,ICSD-605924,False
Ag1Th2,2.225,ICSD-605927,False
Ag1Y1,0,ICSD-604535,False
Ag1Y1,0,ICSD-605954,False
Ag1Y1,0,ICSD-605963,False
Ag1Y1,0,ICSD-58376,False
Ag1Y1,0,ICSD-190092,False
Ag1Zn1,0,ICSD-605985,False
Ag1Zn3,0,ICSD-58386,False
Ag1Zn3,0,ICSD-605984,True
Ag2F1,0.066,ICSD-68443,False
Ag2F1,0.066,ICSD-68442,False
Ag2F1,0.066,ICSD-68440,False
Ag2F1,0.066,ICSD-68441,False
Ag2F1,0.066,ICSD-68439,False
Ag2F1,0.066,ICSD-68436,False
Ag2F1,0.066,ICSD-68444,False
Ag2F1,0.066,ICSD-68437,False
Ag2F1,0.066,ICSD-68438,False
Ag2In1,2.11,ICSD-58287,True
Ag2In1,2.11,ICSD-605373,True
Ag2In1,2.11,ICSD-605381,True
Ag2O1,0,ICSD-174087,False
Ag2O1,0,ICSD-174090,False
Ag2O1,0,ICSD-281041,False
Ag2O1,0,ICSD-173984,False
Ag2O1,0,ICSD-247821,False
Ag2O1,0,ICSD-174092,False
Ag2O1,0,ICSD-246904,False
Ag2O1,0,ICSD-174088,False
Ag2O1,0,ICSD-174089,False
Ag2O1,0,ICSD-174091,False
Ag2S1,0,ICSD-14737,True
Ag2S1,0,ICSD-182916,False
Ag2S1,0,ICSD-190396,True
Ag2S1,0,ICSD-9587,True
Ag2S1,0,ICSD-87207,True
Ag2S1,0,ICSD-262636,False
Ag2S1,0,ICSD-182918,True
Ag2S1,0,ICSD-262632,False
Ag2S1,0,ICSD-259029,False
Ag2S1,0,ICSD-262634,False
Ag2S1,0,ICSD-14738,True
Ag2Se1,0,ICSD-52603,True
Ag2Se1,0,ICSD-605805,True
Ag2Se1,0,ICSD-56991,True
Ag2Se1,0,ICSD-261822,False
Ag2Se1,0,ICSD-260148,False
Ag2Te1,0,ICSD-73232,True
Ag2Te1,0,ICSD-101820,False
Ag2Te1,0,ICSD-73402,False
Ag2Te1,0,ICSD-73231,False
Ag2Te1,0,ICSD-61420,True
Ag2Te1,0,ICSD-73234,True
Ag3.3Al1,0.34,ICSD-104165,True
Ag3.3Al1,0.34,ICSD-604642,True
Ag3In1,0,ICSD-605376,True
Ag3In1,0,ICSD-605379,True
Ag3In1,0,ICSD-58285,False
Ag3Sb1,0,ICSD-259192,False
Ag3Sn1,0,ICSD-2721,False
Ag3Sn1,0,ICSD-58353,True
Ag3Sn1,0,ICSD-154084,False
Ag3Sn1,0,ICSD-239251,False
Ag4Ge1,0.85,ICSD-605284,True
Ag4Ge1,0.85,ICSD-58274,False
Ag4Ge1,0.85,ICSD-605290,True
Ag4Ge1,0.85,ICSD-605288,True
Ag4Ge1,0.85,ICSD-120198,False
Ag4Ge1,0.85,ICSD-656609,True
Ag5Ba1,0,ICSD-57344,False
Ag5Ba1,0,ICSD-604800,False
Ag5Cd8,0,ICSD-604897,False
Ag5Pb2O6,0.0502,ICSD-155044,False
Ag5Pb2O6,0.0502,ICSD-154243,True
Ag5Pb2O6,0.0502,ICSD-154245,True
Ag5Pb2O6,0.0502,ICSD-154244,True
Ag5Pb2O6,0.0502,ICSD-155043,False
Ag5Pb2O6,0.0502,ICSD-154242,True
Ag5Pb2O6,0.0502,ICSD-24038,False
Ag5Pb2O6,0.0502,ICSD-79667,False
Ag5Pb2O6,0.0502,ICSD-154248,True
Ag5Pb2O6,0.0502,ICSD-154247,True
Ag5Pb2O6,0.0502,ICSD-154241,True
Ag5Pb2O6,0.0502,ICSD-40058,False
Ag5Sn1,0,ICSD-58354,True
Ag5Sn1,0,ICSD-58353,True
Ag5Sn1,0,ICSD-656606,True
Ag5Sr1,0,ICSD-605874,False
Ag5Sr1,0,ICSD-58361,False
Ag5Sr1,0,ICSD-196608,False
Ag5Zn8,0,ICSD-58389,False
Ag7N1O11,1.03625,ICSD-23804,False
Ag7N1O11,1.03625,ICSD-21086,False
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-74151,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-63482,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-39230,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78258,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78306,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78230,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-63318,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78236,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-74148,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-56527,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78248,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78213,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78256,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-75760,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78214,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78216,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78307,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-75763,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78197,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78215,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78302,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-56526,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-63317,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78304,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-69285,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78303,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78252,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78244,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-74149,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-75761,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-74152,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78305,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-74147,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78234,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78201,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78235,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78259,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78218,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-69283,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-74153,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-69284,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-74146,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78209,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-78301,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-65847,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-63319,True
Al0.004Cu0.996La1.85Sr0.15O4,30.4,ICSD-69282,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-74151,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-63482,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-39230,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78258,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78306,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78230,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-63318,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78236,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-74148,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-56527,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78248,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78213,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78256,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-75760,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78214,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78216,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78307,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-75763,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78197,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78215,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78302,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-56526,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-63317,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78304,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-69285,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78303,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78252,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78244,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-74149,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-75761,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-74152,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78305,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-74147,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78234,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78201,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78235,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78259,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78218,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-69283,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-74153,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-69284,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-74146,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78209,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-78301,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-65847,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-63319,True
Al0.008Cu0.992La1.85Sr0.15O4,27.1,ICSD-69282,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-74151,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-63482,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-39230,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-78258,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-78306,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-78230,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-63318,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-78236,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-74148,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-56527,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-78248,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-78213,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-78256,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-75760,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-78214,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-78216,True
Al0.012Cu0.988La1.85Sr0.15O4,17.9,ICSD-78307,True
